,label,area,mean_intensity_nuf2_CFP,fname_nuf2_CFP,nuf2_CFP_cyto,nuf2_CFP_bg,mean_intensity_YFP_pp1,fname_YFP_pp1,YFP_pp1_cyto,YFP_pp1_bg,YFP_pp1@kt/YFP_pp1@cyto,nuf2_CFP@kt/nuf2_CFP@cyto,YFP_pp1@kt/YFP_pp1@cyto:nuf2_CFP@kt/nuf2_CFP@cyto,condition,cell,Experiment
10,2_1,5,5176.8,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C0_T0.tif,4546.869756619079,4304.1225,8079.8,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C1_T0.tif,7761.691271004848,4620.2425,1.0409844604594751,1.1385415191327843,0.9143140087261662,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
11,2_2,14,5343.857142857143,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C0_T0.tif,4546.869756619079,4304.1225,8949.285714285714,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C1_T0.tif,7761.691271004848,4620.2425,1.1530071735418455,1.1752826513400463,0.9810467058517349,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
12,2_3,5,5208.2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C0_T0.tif,4546.869756619079,4304.1225,9065.4,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C1_T0.tif,7761.691271004848,4620.2425,1.1679670942163576,1.1454473690208946,1.0196602007255142,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
13,2_4,8,5199.375,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C0_T0.tif,4546.869756619079,4304.1225,9768.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C1_T0.tif,7761.691271004848,4620.2425,1.2585208118868374,1.1435064733118954,1.1005804000757688,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
14,2_5,16,5466.8125,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C0_T0.tif,4546.869756619079,4304.1225,9348.5625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z02_C1_T0.tif,7761.691271004848,4620.2425,1.2044491559363082,1.2023244105555737,1.001767198072401,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
15,3_1,14,5457.357142857143,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,8753.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.1218720992636957,1.192537524703315,0.9407436462368765,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
16,3_2,23,5192.173913043478,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,8769.130434782608,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.123939537254282,1.1345898873769344,0.9906130397942511,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
17,3_3,5,4999.2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,9022.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.1563498320069763,1.0924213749323373,1.0585199617488248,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
18,3_4,8,5183.625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,8348.25,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.0699952876360275,1.1327217854123934,0.944623208819517,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
19,3_5,18,5273.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,9082.944444444445,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.1641610820729364,1.1522519423144133,1.0103355345486356,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
20,3_6,16,5155.4375,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,9349.0625,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.1982694359673822,1.1265622743894488,1.0636513073516471,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
21,3_7,14,5662.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,9474.714285714286,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.2143742266237878,1.2372559259215263,0.9815060903582289,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
22,3_8,5,4996.2,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C0_T0.tif,4576.25611757152,4364.41,10100.0,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z03_C1_T0.tif,7802.137164962696,4698.8825,1.2945171030004945,1.0917658172181437,1.185709501602613,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
23,4_1,14,5630.785714285716,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z04_C0_T0.tif,4582.371829506228,4341.9075,9447.285714285714,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z04_C1_T0.tif,7834.750367667084,4776.0725,1.2058183440372698,1.2287928443581715,0.9813031948986473,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
24,4_2,28,5538.321428571428,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z04_C0_T0.tif,4582.371829506228,4341.9075,9274.285714285714,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D_Z04_C1_T0.tif,7834.750367667084,4776.0725,1.1837372320832824,1.2086145853354306,0.9794166365738141,cdki,set2_pp1_cdki_cell_1,Expt2021_006_Set2_HeLaYFP-PP1_Nuf2-CFP_STLC_MG132_RO3306_well2_point4_19min01_R3D_D3D
