,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
10,1_2,8.0,52836.5,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,41555.375,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.5456703092480526,1.3342547187776097,1.1584521961924432,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
11,1_3,5.0,57055.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,37785.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.4054593219573899,1.440787520573851,0.9754799384975307,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
12,1_4,5.0,38223.6,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,44482.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.6545571597469466,0.9652421842602716,1.714136811182721,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
13,1_5,8.0,39364.25,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,44830.75,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.6674993118536923,0.9940464700281344,1.6774862766792957,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
14,1_6,5.0,41885.0,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,52112.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.9383360224663202,1.0577017572322198,1.8325922304776467,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
15,1_7,9.0,40812.66666666666,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,35897.11111111112,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.3352087144496427,1.0306226393856075,1.295535983224287,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
16,1_8,30.0,48740.53333333333,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,41644.53333333333,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.5489865923679949,1.230821242810129,1.2584984224284688,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
17,1_9,5.0,51635.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,35612.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.324633638589209,1.3039188677339648,1.0158865489010398,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
18,1_10,5.0,40859.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,44050.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.6384887312080354,1.031797723268538,1.5879941332082186,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
19,1_11,5.0,44098.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,39600.009845501365,26157.38,31703.6,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,26885.018591200165,13207.1825,1.1792292384866352,1.1136057837371904,1.0589288020121597,WildType,set6_WildT_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_01_R3D_D3D
