,Unnamed: 0,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
0,0,0_1,8,42938.375,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,41261.623653597584,31976.9875,12278.875,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,6935.562778603269,3673.49,1.7704222990931968,1.0406370665507299,1.7012869865969653,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
1,1,0_2,5,38240.4,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,41261.623653597584,31976.9875,10274.0,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,6935.562778603269,3673.49,1.4813505879719033,0.9267788471204729,1.598386273677372,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
2,2,0_3,11,54511.272727272735,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,41261.623653597584,31976.9875,13359.272727272728,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,6935.562778603269,3673.49,1.9261988037203102,1.3211131288702915,1.4580120064111683,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
3,3,0_4,5,38439.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,41261.623653597584,31976.9875,14002.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,6935.562778603269,3673.49,2.018985401328885,0.9315968834069015,2.167230738197989,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
5,5,0_6,9,50869.88888888888,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T00.tif,41261.623653597584,31976.9875,13577.333333333336,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T00.tif,6935.562778603269,3673.49,1.9576397426926084,1.2328620249158218,1.587882263488709,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
6,6,1_1,47,41385.27659574468,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,42976.642516871776,32730.2225,11577.042553191492,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,6759.567732115677,3487.795,1.712689777215679,0.9629713763586265,1.778546921811978,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
7,7,1_2,5,41433.0,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,42976.642516871776,32730.2225,8750.2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,6759.567732115677,3487.795,1.294491060194063,0.9640818261625307,1.3427190774321576,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
8,8,1_3,24,54023.25,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,42976.642516871776,32730.2225,11635.833333333336,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,6759.567732115677,3487.795,1.7213871943393393,1.2570374705002036,1.369400065420771,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
9,9,1_4,5,38735.4,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,42976.642516871776,32730.2225,7570.0,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,6759.567732115677,3487.795,1.1198940967828228,0.9013128465024519,1.2425142958170143,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
10,10,1_5,5,44538.8,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C0_T01.tif,42976.642516871776,32730.2225,7937.4,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D_Z0_C1_T01.tif,6759.567732115677,3487.795,1.1742466847825597,1.0363489884654193,1.1330610613335312,WildType,set6_WildT_cell_2,Exp2018_032_setVI_HeLa_YFP-AstrinWT_CENPBdsRed_GFP_mcherry_02_R3D_D3D
