,Unnamed: 0,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
10,10,0_11,5,37469.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,45679.6,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,0.9750315777131138,1.0635923067392987,0.9167343271806004,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
11,11,0_12,13,36928.61538461538,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,47320.69230769231,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,1.0100607115483946,1.0482306076256458,0.96358635609419,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
12,12,0_13,5,32853.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,45764.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,0.9768330966659722,0.9325429560154092,1.047493941555043,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
13,13,0_14,5,36838.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,40797.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,0.8708209635940987,1.0456641378956821,0.8327922246110097,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
14,14,0_15,15,34497.13333333333,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,54877.86666666667,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,1.1713686835596173,0.9792122087092311,1.196235783358626,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
15,15,0_16,14,36525.07142857143,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,49419.071428571435,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,1.05485063757382,1.0367758828318254,1.0174336180473504,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
16,16,0_17,5,30784.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,42289.6,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,0.902671989440724,0.8738250806672377,1.0330122233976842,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
17,17,0_18,5,30455.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,35229.476334661354,24869.37,30832.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,46849.35446617959,19286.17,0.6581179260913365,0.8644863100061392,0.7612820682917035,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
18,18,1_1,5,24812.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,32347.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,0.7065758532051701,0.7058231931925709,1.0010663577222432,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
19,19,1_2,35,28919.857142857138,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,35153.5628742515,25391.1425,45785.77142857144,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,45780.50587670905,19102.1375,1.00011501733678,0.8226721497990668,1.2156908649223785,Q1012,set5_Q1012_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_01_R3D_D3D
