,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
10,10,2_3,27.0,3107.2962962962956,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,13421.074074074077,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,0.8831299311168868,0.7734924149437917,1.14174349231474,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
11,11,2_4,5.0,5501.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,14453.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,0.9510587659345303,1.3693517994011297,0.6945320890880378,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
12,12,2_5,5.0,2764.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,13737.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,0.9039578855426547,0.6881359960488063,1.313632611479521,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
13,13,2_6,5.0,3822.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,18524.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,1.2189376204683753,0.9514518174279217,1.2811343655462797,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
14,14,3_1,32.0,3319.40625,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,12924.125,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,0.8560010960148156,0.8138875930243891,1.0517436355479184,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
15,15,3_2,30.0,3226.0333333333333,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,12710.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,0.8418719821438679,0.7909934207911771,1.064322357197106,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
16,16,3_3,5.0,4011.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,18433.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.220869358880473,0.98365611190111,1.2411546516199665,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
17,17,3_4,5.0,4152.8,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,17019.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.127242660800213,1.018228002767568,1.1070631113427842,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
18,18,3_5,9.0,4445.777777777777,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,20337.44444444444,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.3470060630475846,1.0900634336869348,1.2357134653087019,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
19,19,3_6,5.0,4520.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C1_T0.tif,4078.457858861267,3294.0175,19558.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z03_C0_T0.tif,15098.257537483703,7425.415,1.2954210081158586,1.108311071592651,1.1688243863289476,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
