label,area,min_intensity_particle,max_intensity_particle,mean_intensity_particle,fname_particle,particle_cyto,particle_bg,min_intensity_mask,max_intensity_mask,mean_intensity_mask,fname_mask,mask_cyto,mask_bg,Particle Intensity * Area,mask@kt/mask@cyto,particle@kt/particle@cyto,mask@kt/mask@cyto:particle@kt/particle@cyto,condition
0_11,9.0,661.0,1332.0,1062.111111111111,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,396.0,789.0,617.4444444444445,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,9559.0,1.908150527117077,1.682142893965498,1.1343569764271255,Control
0_12,8.0,135.0,689.0,387.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,167.0,580.0,388.375,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,3101.0,1.2002342358686078,0.6139100066388101,1.955065437750321,Control
0_13,11.0,143.0,1163.0,827.4545454545455,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,114.0,860.0,503.8181818181818,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,9102.0,1.5569998853460103,1.3105001625109671,1.1880959116882066,Control
0_14,15.0,166.0,1391.0,675.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,116.0,807.0,354.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,10128.0,1.0964740441227732,1.0693635252693314,1.0253520138033636,Control
1_2,5.0,31.0,368.0,192.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,129.0,572.0,344.0,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,964.0,1.1101189030961491,0.2971620841992932,3.7357353515923064,Control
1_3,9.0,347.0,921.0,612.5555555555555,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,317.0,833.0,585.6666666666666,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,5513.0,1.8899989464534241,0.9441301119125767,2.0018416133606296,Control
1_4,5.0,1416.0,1674.0,1566.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,516.0,937.0,735.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,7833.0,2.3732018643514765,2.4145960638309782,0.9828566773136265,Control
1_6,5.0,48.0,548.0,245.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,139.0,557.0,318.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,1228.0,1.0281508212977706,0.3785425719883112,2.7160771268007293,Control
1_8,8.0,49.0,537.0,295.125,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,280.0,584.0,423.5,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,2361.0,1.3666725449454045,0.45487531171844603,3.004499276477184,Control
1_10,5.0,100.0,882.0,463.0,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,95.0,556.0,317.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,2315.0,1.023632895529356,0.7136205652711242,1.4344217996862936,Control
2_1,5.0,1014.0,1533.0,1225.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,363.0,919.0,640.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,6129.0,2.0009280365303552,1.7703073586665021,1.130271546765512,Control
2_2,8.0,21.0,201.0,112.25,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0002.tif,692.4221344949633,218.635,250.0,918.0,566.125,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0002.tif,319.95153664302603,147.415,898.0,1.7694085983766747,0.16211209088784048,10.914723193601056,Control
